Id_product,Nom,reference,description,descriptioncourte,caract�ristique,caracat�ristqiue_value,imageurl
42,"Barres Cereal Max Pomme Abricot (3 barres)",1939671000,"<ul><li>Source de glucides (34g/bar)</li>
<li>Source de Vitamines B1, B2, B6, PP, C, &amp; E</li>
<li>Pour des efforts &gt; 1h30</li>
<li>Parfaitement adapté pour le petit-déjeuner</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/264/barres-cereal-max-pomme-abricot.jpg
39,"Barres Endurance + Energy Sport (3 barres)",1877411000,"<ul><li>Source de glucides (29g/barre)</li>
<li>Source de Vitamines B1, B2, PP, B6, C &amp; E</li>
<li>Contient de la maltodextrine</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/266/barres-endurance-energy-sport.jpg
38,"Barres Energy Sport Cranberry (3 barres)",2036141000,"<ul><li>Source de glucides (29g/barre)</li>
<li>Source de Vitamines B1, B2, B6, C, E &amp; PP</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/267/barres-energy-sport-cranberry.jpg
37,"Barres Energy Sport Banane (3 barres)",1878301000,"<ul><li>Source de glucides (29g/barre)</li>
<li>Source de Vitamines B1, B2, B6, C, E &amp; PP</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/268/barres-energy-sport-banane.jpg
36,"Barres Energy sport Cereal & multifruits (3 barres)",1878321000,"<ul><li>Source de glucides (29g/barre)</li>
<li>Source de Vitamines B1, B2, B6, C, E &amp; PP</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/269/barres-energy-sport-cereal-multifruits.jpg
35,"ENDURANCE + Energy Sport Drink tropical",2065281001,"<ul><li>Spécialement conçue pour les efforts longs (&gt;3 heures)</li>
<li>Source de glucides (75g/500ml)</li>
<li>Contient de la maltodextrine</li>
<li>Contient du Sodium</li>
<li>Source de Vitamines B1, C &amp; E</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/274/endurance-energy-sport-drink-tropical.jpg
34,"ENDURANCE + Energy Sport Drink orange",1938491201,"<ul><li>Spécialement conçue pour les efforts longs (&gt;3 heures)</li>
<li>Source de glucides (75g/500ml)</li>
<li>Contient de la maltodextrine</li>
<li>Contient du sodium</li>
<li>Source de vitamines B1, C &amp; E</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/275/endurance-energy-sport-drink-orange.jpg
33,"Boisson Hydrate & Perform pamplemousse",1878531000,"<ul><li>Source de glucides (35g/500ml)</li>
<li>Source de Vitamine B1</li>
<li>Source de Calcium, Sodium &amp; Magnesium</li>
<li>Facile à préparer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/221/boisson-hydrate-perform-pamplemousse.jpg
32,"Boisson Hydrate & Perform Neutral",1916941001,"<ul><li>Source de glucides (38g/500ml)</li>
<li>Source de Sodium</li>
<li>Source de Vitamine B1</li>
<li>Facile à préparer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/222/boisson-hydrate-perform-neutral.jpg
31,"Boisson Hydrate & Perform orange",1916931002,"<ul><li>Source de glucides (35g/500ml)</li>
<li>Source de Vitamine B1</li>
<li>Source de Calcium, Sodium &amp; Magnesium</li>
<li>Facile à préparer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/223/boisson-hydrate-perform-orange.jpg
30,"Boisson Hydrate & Perform citron",1916921002,"<ul><li>Source de glucides (35g/500ml)</li>
<li>Source de Vitamine B1</li>
<li>Source de Calcium, Sodium &amp; Magnesium</li>
<li>Facile à préparer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/225/boisson-hydrate-perform-citron.jpg
29,"Boisson Hydrate & Perform cranberry",2015371001,"<ul><li>Source de glucides (37g/500ml)</li>
<li>Source de Vitamines E, C, B1</li>
<li>Source de Sodium &amp; Magnesium</li>
<li>Facile à préparer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/226/boisson-hydrate-perform-cranberry.jpg
28,"Boisson Fitness L-cartinine",1975781000,"<ul><li>Contient de la L cartinine</li>
<li>Sans calorie</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/276/boisson-fitness-l-cartinine.jpg
27,"Boisson Fast Hydration pamplemousse",1975771000,"<ul><li>Source de glucides (35g/bouteille)</li>
<li>Source de Calcium &amp; de Magnesium</li>
<li>Source de Vitamine B1</li>
<li>Prête à consommer</li>
</ul>",,"Par promotions","-- 15 %;--30%;",preprod2018.isostar.fr/277/boisson-fast-hydration-pamplemousse.jpg
26,"Boisson Fast Hydration orange",1975761000,"<ul><li>Source de glucides (35g/bouteille)</li>
<li>Source de Calcium &amp; de Magnesium</li>
<li>Source de Vitamine B1</li>
<li>Prête à consommer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;","preprod2018.isostar.fr/279/boisson-fast-hydration-orange.jpg,preprod2018.isostar.fr/294/boisson-fast-hydration-orange.jpg"
25,"Boisson Fast Hydration citron",1975751000,"<ul><li>Source de glucides (35g/bouteille)</li>
<li>Source de Calcium &amp; de Magnesium</li>
<li>Source de Vitamine B1</li>
<li>Prête à consommer</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/280/boisson-fast-hydration-citron.jpg
24,"Boisson Powertabs citron",1804631102,"<ul><li>Source de Vitamines C, E et B1</li>
<li>Source de glucides (19g/ 2 tablettes)</li>
<li>Source de Calcium, Magnesium &amp; Potassium</li>
<li>Facile à transporter</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/281/boisson-powertabs-citron.jpg
23,"Boisson Powertabs orange",1909081001,"<ul><li>Source de Vitamines C, E et B1</li>
<li>Source de glucides (19g/ 2 tablettes)</li>
<li>Source de Calcium, Magnesium &amp; Potassium</li>
<li>Facile à transporter</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/282/boisson-powertabs-orange.jpg
21,"Boisson Powertabs Antioxydants cranberry",2085181001,"<ul><li>Source de Vitamines C, E et B1</li>
<li>Source de glucides (19g / 2 tablettes)</li>
<li>Source de Calcium, Magnesium &amp; Potassium</li>
<li>Facile à transporter</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/283/boisson-powertabs-antioxydants-cranberry.jpg
4,"Barres Energy Sport Chocolat (3 barres)",2013771000,"<ul><li>Source de glucides (25g/barre)</li>
<li>Source de Vitamines B1, B2, B6, C, E &amp; PP</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/284/barres-energy-sport-chocolat.jpg
